Insee;Population 2018
01;648744
02;531100
03;335354
04;162277
05;141602
06;1082139
07;326632
08;270234
09;152611
10;309183
11;368323
12;278217
13;2030464
14;692663
15;144417
16;351505
17;645148
18;302754
19;241280
2A;157372
2B;179097
21;533218
22;597600
23;118064
24;411495
25;539606
26;514584
27;605612
28;432566
29;906687
30;744958
31;1376737
32;189824
33;1602891
34;1155017
35;1068556
36;219449
37;607882
38;1259762
39;259476
40;408172
41;331627
42;762214
43;227033
44;1410994
45;677354
46;172296
47;331156
48;75949
49;814260
50;494827
51;568668
52;174800
53;305979
54;732902
55;186083
56;750512
57;1040040
58;204067
59;2597774
60;825198
61;281852
62;1467068
63;654799
64;678031
65;226210
66;479754
67;1125345
68;762314
69;1867275
70;234750
71;551663
72;563909
73;431863
74;819664
75;2157184
76;1251613
77;1414273
78;1435258
79;375093
80;570942
81;387626
82;260118
83;1069646
84;562326
85;676527
86;437355
87;372917
88;363989
89;338011
90;143494
91;1305773
92;1605502
93;1638931
94;1390059
95;1236913
France métropolitaine ;64725052
971;386823
972;368640
973;287504
974;862308
976;260372
DOM;2165647
France métropolitaine et DOM;66890699
;
Source : Insee - Estimations de population (résultats provisoires arrêtés fin 2018).;
